,episode_ids,id,url,name,season,number,type,airdate,airtime,airstamp,runtime,rating,summary
618,618,2051044,https://www.tvmaze.com/episodes/2051044/hey-qween-9x02-silky-nutmeg-ganache,Silky Nutmeg Ganache,9.0,2.0,regular,2020-12-07,,2020-12-07,,,
619,619,1980429,https://www.tvmaze.com/episodes/1980429/vnutri-lapenko-3x01-1-seria,1 серия,3.0,1.0,regular,2020-12-07,,2020-12-07,38.0,,
620,620,1967928,https://www.tvmaze.com/episodes/1967928/being-the-elite-1x233-heel-turn,Heel Turn,1.0,233.0,regular,2020-12-07,,2020-12-07,15.0,,
621,621,1970766,https://www.tvmaze.com/episodes/1970766/manner-of-death-1x03-episode-3,Episode 3,1.0,3.0,regular,2020-12-07,,2020-12-07,42.0,10.0,Dr. Bun has been threatened to manipulate the truth especially since his additional information and evidence support the assumption that Jane did not commit suicide.  But every cloud has a silver lining because this event might spark Tan and Bun's love. 
622,622,2037413,https://www.tvmaze.com/episodes/2037413/reunited-apart-with-josh-gad-2x01-waynes-world,Wayne's World,2.0,1.0,regular,2020-12-07,,2020-12-07,30.0,,
623,623,1982927,https://www.tvmaze.com/episodes/1982927/jan-thomas-verden-1x20-episode-20,Episode 20,1.0,20.0,regular,2020-12-07,,2020-12-07,20.0,,
624,624,1971202,https://www.tvmaze.com/episodes/1971202/the-runner-1x16-episode-16,Episode 16,1.0,16.0,regular,2020-12-07,20:00,2020-12-07,60.0,,
625,625,1971203,https://www.tvmaze.com/episodes/1971203/the-runner-1x17-episode-17,Episode 17,1.0,17.0,regular,2020-12-07,20:00,2020-12-07,60.0,,
626,626,1971204,https://www.tvmaze.com/episodes/1971204/the-runner-1x18-episode-18,Episode 18,1.0,18.0,regular,2020-12-07,20:00,2020-12-07,60.0,,
627,627,1971205,https://www.tvmaze.com/episodes/1971205/the-runner-1x19-episode-19,Episode 19,1.0,19.0,regular,2020-12-07,20:00,2020-12-07,60.0,,
628,628,1971206,https://www.tvmaze.com/episodes/1971206/the-runner-1x20-episode-20,Episode 20,1.0,20.0,regular,2020-12-07,20:00,2020-12-07,60.0,,
629,629,1984202,https://www.tvmaze.com/episodes/1984202/man-in-the-middle-1x04-episode-4,Episode 4,1.0,4.0,regular,2020-12-07,,2020-12-07,48.0,,
630,630,1991658,https://www.tvmaze.com/episodes/1991658/all-the-queens-men-1x03-gilbert-gaona-gus-lanza,Gilbert Gaona & Gus Lanza,1.0,3.0,regular,2020-12-07,,2020-12-07,11.0,,"Mr. Shuga Cain and Mr. BenDeLaCreme join Mr. Royale to spill the tea on their queens, then play a game of Shit Michelle Says!"
631,631,2336907,https://www.tvmaze.com/episodes/2336907/oriental-casablanca-1x22-episode-22,Episode 22,1.0,22.0,regular,2020-12-07,,2020-12-07,45.0,,
632,632,1976030,https://www.tvmaze.com/episodes/1976030/twisted-fate-of-love-1x19-episode-19,Episode 19,1.0,19.0,regular,2020-12-07,20:00,2020-12-07,45.0,,
633,633,1976031,https://www.tvmaze.com/episodes/1976031/twisted-fate-of-love-1x20-episode-20,Episode 20,1.0,20.0,regular,2020-12-07,20:00,2020-12-07,45.0,,
634,634,1976189,https://www.tvmaze.com/episodes/1976189/psych-hunter-1x23-episode-23,Episode 23,1.0,23.0,regular,2020-12-07,20:00,2020-12-07,45.0,,
635,635,1976190,https://www.tvmaze.com/episodes/1976190/psych-hunter-1x24-episode-24,Episode 24,1.0,24.0,regular,2020-12-07,20:00,2020-12-07,45.0,,
636,636,1977634,https://www.tvmaze.com/episodes/1977634/to-love-1x23-episode-23,Episode 23,1.0,23.0,regular,2020-12-07,20:00,2020-12-07,45.0,,
637,637,1977635,https://www.tvmaze.com/episodes/1977635/to-love-1x24-episode-24,Episode 24,1.0,24.0,regular,2020-12-07,20:00,2020-12-07,45.0,,
638,638,1978779,https://www.tvmaze.com/episodes/1978779/kuad-wicha-by-brands-summer-camp-1x05-episode-5,Episode 5,1.0,5.0,regular,2020-12-07,,2020-12-07,15.0,,The first elimination occurs as the remaining competitors race towards the next set of trivia questions.  
639,639,1981356,https://www.tvmaze.com/episodes/1981356/room-2806-the-accusation-1x01-episode-1,Episode 1,1.0,1.0,regular,2020-12-07,,2020-12-07,44.0,,"In the aftermath of the global financial crisis, a French politician provides hope. Later, he becomes the subject of a 2011 scandal in New York City.<br /> "
640,640,1981557,https://www.tvmaze.com/episodes/1981557/room-2806-the-accusation-1x02-episode-2,Episode 2,1.0,2.0,regular,2020-12-07,,2020-12-07,47.0,,"Following Nafissatou Diallo's allegations against Dominique Strauss-Kahn, he is taken into custody. Reports of an alleged affair years prior emerge.<br /> "
641,641,1981558,https://www.tvmaze.com/episodes/1981558/room-2806-the-accusation-1x03-episode-3,Episode 3,1.0,3.0,regular,2020-12-07,,2020-12-07,45.0,,Another woman comes forward with accusations as public opinions clash around Strauss-Kahn. The accused resigns as head of IMF before he is granted bail.<br /> 
642,642,1981559,https://www.tvmaze.com/episodes/1981559/room-2806-the-accusation-1x04-episode-4,Episode 4,1.0,4.0,regular,2020-12-07,,2020-12-07,63.0,,More allegations of sexual misconduct surface as doubts swirl around Strauss-Kahn's case and Diallo faces scrutiny in her pursuit of justice.
643,643,1985401,https://www.tvmaze.com/episodes/1985401/light-speed-1x01-engineering-the-worlds-fastest-solar-race-cars,Engineering the World's Fastest Solar Race Cars,1.0,1.0,regular,2020-12-07,,2020-12-07,23.0,,"Welcome to LIGHT SPEED! Join Derek Muller of Veritasium to meet the minds (and understand the physics!) behind the world's most advanced solar vehicles. They'll race 2,000 miles across the Australian Outback to test their tech and teamwork, risking life and limb to build a better, more sustainable world."
644,644,1985402,https://www.tvmaze.com/episodes/1985402/light-speed-1x02-racing-a-solar-car-across-the-australian-outback,Racing a Solar Car Across the Australian Outback,1.0,2.0,regular,2020-12-07,,2020-12-07,23.0,,"And they're off! Under the brutal desert sun, our competitors encounter their first roadblocks. Extreme heat, hazardous winds, and brush fires are all signs that the Australian Outback means business. But the dangers of experimental tech make it a lot worse - and a spontaneous car battery fire spells disaster for one team."
