,shows_id,time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
109,127,17:00,0.0,0.0,0.0,1.0,0.0,0.0,1.0
110,128,20:20,0.0,0.0,0.0,1.0,0.0,0.0,0.0
111,129,22:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0
112,130,19:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0
113,131,18:00,0.0,0.0,0.0,1.0,0.0,1.0,0.0
114,132,,0.0,0.0,1.0,1.0,0.0,0.0,0.0
115,133,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
116,134,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
117,135,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,137,,1.0,0.0,0.0,1.0,0.0,0.0,0.0
119,139,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
120,140,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
121,141,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
122,142,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
123,143,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
124,144,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
125,145,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
126,146,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
127,147,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
128,149,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
129,150,20:00,0.0,0.0,1.0,1.0,1.0,0.0,0.0
130,151,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
131,152,20:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0
132,154,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
133,155,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
134,156,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
135,157,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
136,160,08:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0
137,161,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
138,162,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
139,163,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
140,164,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
141,166,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
142,168,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
143,170,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
144,172,,0.0,0.0,1.0,1.0,0.0,0.0,0.0
145,174,19:25,0.0,0.0,0.0,1.0,0.0,0.0,0.0
146,175,15:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0
147,176,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
148,177,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
149,178,12:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
150,179,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151,180,10:00,1.0,0.0,0.0,0.0,1.0,0.0,0.0
152,182,06:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
153,183,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
154,184,00:00,0.0,0.0,0.0,0.0,1.0,1.0,1.0
155,186,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
156,187,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
157,188,12:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
158,189,20:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
159,190,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
160,191,22:45,0.0,0.0,0.0,0.0,1.0,0.0,0.0
161,192,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
162,193,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
163,195,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
164,196,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
165,197,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
166,199,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
167,200,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
168,202,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
169,204,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
170,206,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
171,207,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
172,211,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
173,213,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
174,215,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
175,216,20:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
176,217,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
177,219,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
178,221,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
179,222,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
180,223,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
181,225,12:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
182,226,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
183,227,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
184,228,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
185,229,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
186,230,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
187,231,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
188,232,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
189,233,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
190,234,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
191,235,08:30,0.0,0.0,0.0,0.0,1.0,0.0,0.0
192,236,08:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
193,237,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
194,239,18:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0
195,240,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
196,243,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
197,244,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
198,245,21:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0
199,246,20:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
200,247,20:55,0.0,0.0,0.0,0.0,1.0,0.0,0.0
201,248,22:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
202,249,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
203,250,10:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0
204,251,11:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0
205,253,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
206,254,17:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0
207,256,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
208,258,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
209,259,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
210,260,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
211,262,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
212,263,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
213,264,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
214,267,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
215,268,00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0
216,269,00:15,0.0,0.0,0.0,0.0,0.0,1.0,0.0
217,270,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
218,271,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
219,272,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
220,273,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
221,275,19:50,0.0,0.0,0.0,0.0,0.0,1.0,0.0
222,276,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
223,277,16:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0
224,278,19:30,0.0,0.0,0.0,0.0,0.0,1.0,0.0
225,279,22:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0
226,281,10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0
227,282,10:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0
228,283,12:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0
229,284,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
230,285,06:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0
231,286,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
232,287,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
233,288,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
234,289,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
235,290,21:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0
236,291,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
237,293,14:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0
